company,location,title
XSARUS E-development & Consulting," Middelharnis, Netherlands",Backend PHP Developer
LeanIX GmbH," Bonn, Germany",Backend Developer - Java (m/f)
combit," Konstanz, Deutschland",.NET Junior Software-Entwickler für Reporting-Lösungen (m/w)
combit," Konstanz, Deutschland",.NET Senior Software-Entwickler für Reporting-Lösungen (m/w)
ABN AMRO Bank," Amsterdam, Netherlands",Senior Development Engineer Technology Lab
Technische Informationsbibliothek (TIB)," Hannover, Deutschland",Research Software Engineers (E 12/E 13 TV-L)
AUTO1," Berlin, Germany",Senior PHP Developer
Haraj," Riyadh, Saudi Arabia",JavaScript Frontend Developer (React.js)
MediFox GmbH," Hildesheim, Deutschland",Softwareentwickler .NET/C# (m/w)
Croud," Shrewsbury, UK",SENIOR PHP DEVELOPER NEEDED FOR FLAGSHIP PLATFORM
"DrFirst, Inc."," Washington, DC",Senior Javascript Engineer - Angular / Health IT
PitCrew B.V.," Bunnik, Netherlands",Junior / Medior C# Developer
travel-IT GmbH & Co.KG," Mülheim an der Ruhr, Deutschland",Senior-Softwareentwickler mit den Schwerpunkten C/C++ und Java/SQL
Paysafe," Sofia, Bulgaria",Software Engineer
Sophos," Abingdon, UK",Senior Windows Engineer
Sophos," Abingdon, UK",Penetration Tester / Red Team Specialist
Anaplan," York, UK","Java Engineers - Leading SaaS Firm, York"
UW Service GmbH," Köln, Deutschland",Projektmanager IT / JIRA Consultant (m/w)
Sky Betting & Gaming," Sheffield, UK",Lead Software Engineers who love Agile & DevOps
Sky Betting & Gaming," Sheffield, UK","Inspec finished in 0.37004 seconds,61 examples,1 failure. Are you a Devops Hero?"
ABN AMRO Bank," Amsterdam, Netherlands",Development Engineer - Transaction Monitoring
Contrarius Investment Advisory Ltd," Windsor, UK",IT Infrastructure Engineer
ABN AMRO Bank," Amsterdam, Netherlands",Development Engineer - Personal & Online Relevance
rola Security Solutions GmbH," Oberhausen, Deutschland",Entwickler für Testautomatisierung (m/w)
Parkside Informationstechnologie GmbH," Graz, Österreich","Full Stack Developer with passion for Design, Usabilty and Quality (f/m)"
Contrarius Investment Advisory Ltd," Windsor, UK",F# Developer
TXODDS," London, UK",Data Engineer
Deliveroo," London, UK","Software Engineer, iOS (All Levels)"
Hays plc," City of London, UK",Multiple Software Developer opportunities 
Tamedia," Zürich, Switzerland",Tech Lead @ tutti.ch
Resin.io, No office location,Front-end Developer
MisterClipping.com," Marknesse, Netherlands",R&D Engineer Informatica
Musement," Milan, Italy",PHP API Senior Developer - Symfony
Checkout.com," Berlin, Germany",DevOps Engineer
bet-at-home.com," Linz, Österreich",Senior Database Administrator (SQL Server) (m/f)
Console Group," Brisbane, Australia",Senior JavaScript Front-End Developer - Build a new SaaS platform!
"Shelter, the housing and homelessness charity"," Bristol, UK",Senior Web Developer
Checkout.com," Berlin, Germany",Senior Software Engineer .NET Core #FinTech
Checkout.com," London, UK",Senior Software Engineer .NET Core #FinTech
Zalando SE," Berlin, Germany",Data Architect
Tele2," Diemen, Netherlands",Digital Solution Architect
Checkout.com," London, UK",Senior Software Engineer .NET Core #FinTech
Disy Informationssysteme GmbH," Karlsruhe, Deutschland",Software Entwickler Java
The Qt Company," Berlin, Germany","Qt Embedded Software Architect (automotive, medical, embedded, automation)"
bet-at-home.com," Linz, Österreich",Senior Mobile App Developer (m/f)
Cargonexx," Hamburg, Germany",Senior JavaScript Developer (React)
Hubble," London Borough of Ealing, UK",Web Developer - JavaScript
MisterClipping.com," Marknesse, Netherlands",Startende R&D engineer Technische Informatica
Alfresco Software," Maidenhead, UK",IT DevOps contractor
HelloFresh," Berlin, Germany","Big Data Engineer (m/f) - Mid Level (python, pyspark, hadoop, kafka)"
AUTO1," Berlin, Germany",Expert Java Developer
Ippen Digital GmbH & Co. KG," München, Deutschland","Junior Administrator/DevOps, Ippen Digital Group, Mediengruppe Münchner Merkur"
AUTO1," Berlin, Germany",Senior JavaScript Developer
trivago GmbH," Düsseldorf, Germany",Data Engineer
Volvo Car Corporation(Prd)," Gothenburg, Sweden",Group Manager- Continuous Integration Test Management
AVL DiTEST GmbH," Cadolzburg, Deutschland",Senior Software Developer (m/w) Java
trivago GmbH," Düsseldorf, Germany",Hadoop Software Engineer
eBay," Amsterdam, Netherlands",Quality Assurance Engineer
trivago GmbH," Düsseldorf, Germany", UI/UX Software Engineer
CANEA Partner Group AB," Nordstaden, Sweden",Mjukvarutestare sökes till vårt agila team!
The Workshop," Málaga, Spain",Java Developer
Interhyp AG," München, Deutschland",Support Engineer - IT (m/w)
opsira," Weingarten, Deutschland",Softwareentwickler(in) C++ Optische Messtechnik
Rohde & Schwarz," München, Deutschland",JavaScript Frontend Entwickler (m/w) für Anwendungen drahtlose Kommunikation
Check Digit," New York, NY",Mid-Level Software Engineer at Fintech Startup
Hays plc," City of London, UK",Python Developer
Interhyp AG," München, Deutschland",Software Developer / Architect (m/w) München
ZEISS Group," München, Deutschland",Design Thinking Internship @ ZEISS Digital Innovation Partners (3-6 months)
Check Digit," New York, NY",Senior Software Engineer at Fintech Startup
Interhyp AG," München, Deutschland",Frontend Developer (m/w)
adlytics GmbH," Mannheim, Germany",(Senior) Web Developer (m/w)
Chorus," Bristol, UK",SharePoint Developer
Bouvet," Oslo, Norway",Junior Developer
Topic Embedded Systems B.V.," Eindhoven, Netherlands","Senior C# Engineer who helps to make the world better, healthier and smarter!"
Jayway," København, Denmark",Breaking the boundaries? Web Developer with a passion for sharing knowledge
Egeniq," Utrecht, Netherlands",Android Developer
freshcells systems engineering GmbH," Düsseldorf, Germany",Senior Java Developer
Topic Embedded Systems B.V.," Eindhoven, Netherlands","Senior C++ Engineer who helps to make the world better, healthier and smarter!"
Topic Embedded Systems B.V.," Eindhoven, Netherlands","Technical Software Engineers C, C++, C# or Java"
mytaxi (Intelligent Apps GmbH)," Hamburg, Deutschland",Senior Java Developer (m/f) wanted for leading e-hailing app (Hamburg/Barcelona)
Zalando SE," Berlin, Germany",Senior Data Engineer - Data Services
Topic Embedded Systems B.V.," Eindhoven, Netherlands",Are you our specialist in App development?
Topic Embedded Systems B.V.," Eindhoven, Netherlands","C++ Software designer who helps to make the world better, healthier and smarter!"
Retresco GmbH," Berlin, Deutschland",Frontend Developer for Automated Text Generation Platform (f/m)
Zuhlke Engineering Ltd," Manchester, UK",.NET - The hard stuff (and it's all hard stuff)
Backbase," Amsterdam, Netherlands",(Senior) Java Developer
GoodNotes, Hong Kong,Senior Backend Engineer
P3 group GmbH," Aachen, Deutschland",Big Data Analyst / Data Scientist
STUDITEMPS.TECH," Köln, Deutschland",Software Engineer (Ruby/Elixir) gesucht – mit Homeoffice & Weiterbildungsbudget
BMW Group," München, Deutschland",Product Owner Vehicle Data Connectivity (w/m)
STUDITEMPS.TECH," Köln, Deutschland",Frontend Engineer gesucht – mit Homeoffice und Weiterbildungsbudget
Philip Morris International," Kraków, Poland",DevOps Engineer
BMW Group," München, Deutschland",Projektleiter Networking und Cloud Connectivity (w/m)
mytaxi (Intelligent Apps GmbH)," Berlin, Germany",Java Developer (m/f) wanted for leading e-hailing app in Europe
mytaxi (Intelligent Apps GmbH)," Hamburg, Germany",Backend DevOps Engineer (Java) (m/f) wanted for leading e-hailing app in Europe
mytaxi (Intelligent Apps GmbH)," Hamburg, Germany",Senior Java Developer (m/f) wanted for leading e-hailing app in Europe
xbAV AG," Berlin, Deutschland",Frontend-/Webentwickler mit Schwerpunkt Angular (m/w)
mytaxi (Intelligent Apps GmbH)," Hamburg, Germany",Systems Administrator (m/f) with specialisation on Atlassian software
mytaxi (Intelligent Apps GmbH)," Hamburg, Germany",Cloud Services Admin (m/f) wanted for leading e-hailing app in Europe
mytaxi (Intelligent Apps GmbH)," Barcelona, Spain",Senior Frontend Developer (m/f) wanted for leading e-hailing app in Europe
mytaxi (Intelligent Apps GmbH)," Hamburg, Germany",Software Development Engineer in Test (Backend) (m/f)
Swisscom AG," Zürich, Schweiz",Robotics Process Automation Developer  Bern or Zürich 80% to 100%
mytaxi (Intelligent Apps GmbH)," Barcelona, Spain",Frontend Chapter Lead (m/f) wanted for leading e-hailing app in Europe
mytaxi (Intelligent Apps GmbH)," Barcelona, Spain",Senior QA Automation Engineer (m/f) wanted for leading e-hailing app in Europe
Comcast," Mount Laurel, NJ","Dir 1, Product Development Engineering"
mytaxi (Intelligent Apps GmbH)," Barcelona, Spain",Backend Chapter Lead (Java) (m/f) wanted for leading e-hailing app in Europe
mytaxi (Intelligent Apps GmbH)," Berlin, Germany",iOS Developer (m/f) wanted for leading e-hailing app in Europe (Berlin)
mytaxi (Intelligent Apps GmbH)," Berlin, Germany",Data Scientist Lead (m/f) wanted for leading e-hailing app in Europe (Berlin)
mytaxi (Intelligent Apps GmbH)," Barcelona, Spain",iOS Chapter Lead (m/f) wanted for leading e-hailing app in Europe (Barcelona)
mytaxi (Intelligent Apps GmbH)," Hamburg, Germany",Engineering Lead Strategy (m/f) wanted for leading e-hailing app in Europe
mytaxi (Intelligent Apps GmbH)," Hamburg, Germany",Data Infrastructure Lead (m/f) wanted for leading e-hailing app in Europe
mytaxi (Intelligent Apps GmbH)," Hamburg, Germany",Backend Developer (Java) (m/f) wanted for leading e-hailing app in Europe
mytaxi (Intelligent Apps GmbH)," Hamburg, Germany",Lead Developer (Backend) (m/f) wanted for leading e-hailing app in Europe
Continental AG," Aschheim, Deutschland",Backend Developer (m/w) Smart Parking
M87," Bellevue, WA",Software Engineer - Algorithms & Protocols
Scout24," Berlin, Germany",Senior Software Engineer building the biggest real-estate search engine in DE
Comcast," Philadelphia, PA","Sr. Manager, SKU Data Management"
Comcast," Philadelphia, PA",Senior Android Developer
Comcast," Philadelphia, PA","Eng 4, Software Dev & Engineering"
Comcast," Philadelphia, PA","Eng 1, Engineering Ops"
Comcast," Philadelphia, PA","Developer, Software Dev & Engineering"
Comcast," Philadelphia, PA",Software Engineer
Comcast," Philadelphia, PA","Eng 2, Software Dev & Engineering"
Comcast," Philadelphia, PA",Data Architect
Comcast," Philadelphia, PA",SQL Developer & Analyst
Comcast," Philadelphia, PA",Senior Creative Director - CX Experience Design
Comcast," Philadelphia, PA",Principal Cybersecurity Engineer(DevSecOps)
Comcast," Mount Laurel, NJ","Eng 5, Product Development Engineering- SDN/NFV"
Comcast," Denver, CO",Senior Software Engineer - Cloud Applications
OfferUp," Bellevue, WA",Head of Data Science
Comcast," Centennial, CO","Sr. Manager, VACT"
Comcast," Cambridge, MA",Senior Software Engineer
xbAV AG," München, Deutschland",Ruby on Rails Entwickler (m/w)
Big Wednesday Digital," Bangkok, Thailand",Data Analyst - Agoda Hring Now!  Bangkok
kernpunkt Digital GmbH," Köln, Deutschland",Backend Developer (m/w)  für Digitalagentur mit spannenden B2B-Projekten
Big Wednesday Digital," Bangkok, Thailand",Global Technical Support Engineer - AGODA eTravel - BANGKOK
GetSwift Limited," Melbourne, Australia",Engineer - Full Stack Developer
"cPanel, Inc"," Houston, TX",Development Manager
JOHAN Sports," Noordwijk, Netherlands",Senior Back-end Developer
CXT Software," Phoenix, AZ",Integrations Engineer
CXT Software," Phoenix, AZ",Software Engineer
Canva," Sydney, Australia",iOS Engineer
Unizin," Austin, TX",Senior Full Stack Engineer
CivicActions," Sacramento, CA",Lead Ruby on Rails Developer for government transformation
VNN Inc," Grand Rapids, MI",Linux Full Stack Developers (remote development)
Autodesk," San Francisco, CA",Senior/Lead Data Scientist
Volant Trading," New York, NY",Software Engineer
Livefront," Minneapolis, MN",Android Developer
Mediavine," Seattle, WA",Publisher Support Engineer
OfferUp," Bellevue, WA",Data Engineer (RDMS + Java/Python)
OfferUp - buy. sell. simple.," Bellevue, WA",Sr. Software Development Engineer - iOS
RegistrationMax," Austin, TX",Senior Developer - Full Stack
eBay," San Jose, CA","Sr. Manager, Engineering - IaaS"
Axiom Exergy," Richmond, CA",Controls Engineer
AllClear ID," Austin, TX",Network Engineer
Browzzin Pte Ltd, No office location,System Engineer - DevOps
UJET," San Francisco, CA",Site Reliability Engineer
"Electric AI, Inc"," New York, NY",Lead Engineer
CoreLogic International," Fortitude Valley, Australia",Java Data Engineer
JumpCloud," Boulder, CO",Senior UI Software Engineer
ThousandEyes," San Francisco, CA","Software Engineer, Front End"
Dwelo," San Francisco, CA",Senior Software Engineer
Diamond," Los Angeles, CA",React Developer
Rally Health," San Francisco, CA",Senior Data Engineer
Rover," Seattle, WA",Senior Software Engineer - Platform Performance and Stability
Rally Health," Minneapolis, MN",Senior Backend Software Engineer
Rally Health," San Francisco, CA",Senior Backend Software Engineer
Rally Health," Washington, DC",Senior Backend Software Engineer
StubHub," San Francisco, CA","Analytics Manager, Concerts & Theater"
Overclock Labs," San Francisco, CA",Distributed Systems Engineer  (Founding Team)
Overclock Labs," San Francisco, CA",Senior Security Engineer (Founding Team)
Rover," Seattle, WA",Senior Software Engineer - Dog Walking
Achievement Network," Boston, MA","Director, Engineering"
Pinn," Redwood City, CA",Android Developer
"Pyramid Systems, Inc."," Fairfax, VA",Senior .NET Developer
Facebook, Singapore,Developer Support Engineer
14 West and The Agora Companies," Baltimore, MD",Web Designer and Optimization Specialist
Laserfiche," Long Beach, CA",Software Engineer
Nuovo Solutions," Hyderabad, India",AWS DevOps Engineer
Nuovo Solutions," Greenwood Village, CO",Java Microservices Developer
Trilogy Education Services," Evanston, IL",Web Development Instructor - Northwestern University (Evanston- Full Time)
Dealer-FX," Markham, ON, Canada",Senior Software Developer - Microsoft Technologies
Greenshades Software," Jacksonville, FL",.Net Developer
MojoTech," Providence, RI",React Developer
Ivanti," New Brighton, MN",Software Engineer - Linux / C++
AppColony," Victoria, BC, Canada",Intermediate Frontend Developer
Teachers Pay Teachers," New York, NY",Senior DevOps Engineer
